"ref_area","source","indicator","sex","time","obs_value","obs_status","note_indicator","note_source"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_M","2016",5.03,,"T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_F","2016",4.55,,"T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_T","2015",5.27,,"T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_M","2015",5.11,,"T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_F","2015",5.51,,"T30:164","R1:3513"
"BLZ","BA:934","EAR_HUBL_SEX_NB","SEX_T","2019",9.82,,"T30:65","R1:3513"
"BLZ","BA:934","EAR_HUBL_SEX_NB","SEX_M","2019",9.2,,"T30:65","R1:3513"
"BLZ","BA:934","EAR_HUBL_SEX_NB","SEX_F","2019",10.71,,"T30:65","R1:3513"
"BOL","BA:74","EAR_HUBL_SEX_NB","SEX_T","2022",37.96,,"T30:67","R1:3513"
"BOL","BA:74","EAR_HUBL_SEX_NB","SEX_M","2022",38.32,,"T30:67","R1:3513"
"BOL","BA:74","EAR_HUBL_SEX_NB","SEX_F","2022",37.59,,"T30:67","R1:3513"
"BOL","BA:74","EAR_HUBL_SEX_NB","SEX_T","2021",37.06,"B","I11:264_T30:67","R1:3513"
"BOL","BA:74","EAR_HUBL_SEX_NB","SEX_M","2021",36.68,"B","I11:264_T30:67","R1:3513"
"BOL","BA:74","EAR_HUBL_SEX_NB","SEX_F","2021",37.47,"B","I11:264_T30:67","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_T","2023",30.23,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_M","2023",33.88,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_F","2023",27.47,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_T","2022",27.07,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_M","2022",29.73,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_F","2022",25.01,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_T","2021",26.05,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_M","2021",28.71,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_F","2021",23.89,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_T","2020",31.05,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_M","2020",34.75,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_F","2020",27.93,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_T","2019",26.01,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_M","2019",29.15,,"T30:68","R1:3513"
