"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2015",617.985,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2015",89.189,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2015",528.796,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2015",463.977,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2015",85.271,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2015",378.706,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2022",7303.023,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2022",2320.209,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2022",4982.813,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2022",5536.409,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2022",1678.097,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2022",3858.312,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2022",1766.614,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2022",642.113,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2022",1124.501,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",7165.128,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",730.647,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",6434.481,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2021",5469.43,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2021",519.82,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2021",4949.61,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2021",1695.698,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2021",210.827,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2021",1484.871,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",6886.451,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",747.694,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",6138.758,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2020",5233.426,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2020",518.849,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2020",4714.578,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2020",1653.025,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2020",228.845,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2020",1424.18,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",7388.315,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",762.647,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",6625.668,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2019",5617.089,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2019",595.779,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2019",5021.31,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2019",1771.226,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2019",166.868,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2019",1604.358,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",7225.305,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",613.511,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",6611.795,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2018",5870.75,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2018",474.997,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2018",5395.753,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2018",1354.555,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2018",138.514,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2018",1216.042,,,"R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",7240.954,"B","I11:264","R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",768.288,"B","I11:264","R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",6472.666,"B","I11:264","R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2017",5892.747,"B","I11:264","R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2017",616.62,"B","I11:264","R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2017",5276.127,"B","I11:264","R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2017",1348.207,"B","I11:264","R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2017",151.668,"B","I11:264","R1:3513"
"ARE","BA:716","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2017",1196.539,"B","I11:264","R1:3513"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2023",13293.498,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2023",2412.41,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2023",10881.088,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2023",7418.552,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2023",1079.516,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2023",6339.037,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2023",5874.946,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2023",1332.894,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2023",4542.051,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2022",12881.228,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2022",2294.158,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2022",10587.07,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2022",7241.271,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2022",1050.058,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2022",6191.213,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2022",5639.958,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2022",1244.1,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2022",4395.858,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",12241.621,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",2363.398,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",9878.223,,,"R1:3513_S4:33"
