"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2020",389.35,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2020",12.99,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2020",5.52,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2019",234.83,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2019",10.99,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2019",4.88,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2019",234.23,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2019",10.96,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2019",4.86,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2019",235.37,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2019",11.02,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2019",4.89,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2018",164.42,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2018",11.61,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2018",5.85,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2018",162.81,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2018",11.49,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2018",5.8,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2018",165.89,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2018",11.71,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2018",5.9,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2017",128.73,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2017",11.91,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2017",7.77,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2017",127.84,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2017",11.83,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2017",7.72,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2017",129.57,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2017",11.99,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2017",7.82,,"T30:61","R1:3513_S4:33"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2022",778.49,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2022",4.53,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2022",1.79,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2022",844.02,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2022",4.91,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2022",1.94,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2022",719.15,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2022",4.19,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2022",1.65,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2021",711.48,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2021",4.17,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2021",1.41,,"T30:111","R1:3513_T3:240"
